,frequency
GO:0035869,1
GO:0001725,13
GO:0005925,27
GO:0004535,3
GO:0005737,12
GO:0000781,44
GO:0003690,6
GO:0062023,163
GO:0005886,48
GO:0000922,9
GO:0005874,20
GO:0005876,9
GO:0003954,8
GO:0008137,11
GO:0001046,2
GO:0016251,29
GO:0000977,17
GO:0001228,8
GO:0003743,63
GO:0005245,4
GO:0008331,5
GO:0034604,5
GO:0015630,9
GO:0097431,4
GO:1990023,1
GO:0072686,5
GO:0099073,2
GO:0005856,4
GO:0030864,14
GO:0005794,20
GO:0004842,41
GO:0098592,2
GO:0030136,3
GO:0015185,1
GO:0016605,18
GO:0005096,13
GO:0005634,11
GO:0005829,5
GO:0045202,2
GO:0005604,1
GO:0005813,28
GO:0005912,3
GO:0051015,16
GO:0004758,8
GO:0000400,12
GO:0005881,11
GO:0005730,4
GO:0005635,12
GO:0050421,3
GO:0003923,1
GO:0034235,3
GO:0032977,22
GO:0008821,7
GO:0005085,36
GO:0060090,6
GO:0005739,12
GO:0005759,6
GO:0015629,16
GO:1990050,4
GO:0030663,3
GO:0004679,1
GO:0032588,1
GO:0003723,7
GO:0034511,1
GO:0043596,2
GO:0042393,3
GO:0005262,4
GO:0004972,5
GO:0005811,6
GO:0000776,24
GO:0005261,3
GO:0005267,2
GO:0015272,2
GO:0022857,1
GO:0003720,19
GO:0005764,13
GO:0003684,5
GO:0005901,11
GO:0030315,1
GO:0031965,2
GO:0005884,21
GO:0001917,3
GO:0032391,2
GO:0043025,3
GO:0043195,1
GO:0001227,3
GO:0005125,5
GO:0005127,2
GO:0004402,3
GO:0005769,8
GO:0003677,16
GO:0003700,7
GO:0004526,13
GO:0000171,1
GO:0050567,2
GO:0004965,2
GO:0003689,13
GO:0046933,27
GO:0004176,1
GO:0032587,10
GO:0005254,26
GO:0043022,8
GO:0005819,3
GO:0031492,16
GO:0097427,2
GO:0008320,6
GO:0005905,3
GO:0035615,5
GO:0035861,3
GO:0016607,1
GO:0036408,6
