,frequency,probability,IC
GO:0035869,3,3.0143347165943134e-12,26.52764196794392
GO:0001725,13,1.3062117105242025e-11,25.061304899150496
GO:0005925,27,2.7129012449348823e-11,24.330417390607703
GO:0004535,3,3.0143347165943134e-12,26.52764196794392
GO:0005737,4041,4.060308863252541e-09,19.322006791533557
GO:0000781,44,4.421024251004993e-11,23.842064622693773
GO:0003690,8586,8.627025958892925e-09,18.568366007827528
GO:0062023,164,1.6478363117382247e-10,22.526387828787833
GO:0005886,607,6.099003909909161e-10,21.217725465552533
GO:0000922,15,1.507167358297157e-11,24.918204055509822
GO:0005874,158,1.5875496174063385e-10,22.563659223585066
GO:0005876,12,1.2057338866377254e-11,25.14134760682403
GO:0003954,8,8.038225910918169e-12,25.546812714932198
GO:0008137,11,1.1052560627512483e-11,25.228358983813663
GO:0001046,5,5.023891194323856e-12,26.016816344177933
GO:0016251,29,2.9138568927078365e-11,24.258958426625558
GO:0000977,64,6.430580728734535e-11,23.46737117325236
GO:0001228,8,8.038225910918169e-12,25.546812714932198
GO:0003743,63,6.330102904848059e-11,23.4831195302205
GO:0005245,21,2.1100343016160196e-11,24.58173181888861
GO:0008331,5,5.023891194323856e-12,26.016816344177933
GO:0034604,5,5.023891194323856e-12,26.016816344177933
GO:0015630,1767,1.7754431480740508e-09,20.149215784292338
GO:0097431,4,4.0191129554590846e-12,26.23995989549214
GO:1990023,1,1.0047782388647711e-12,27.626254256612032
GO:0072686,11,1.1052560627512483e-11,25.228358983813663
GO:0099073,2,2.0095564777295423e-12,26.93310707605209
GO:0005856,23156,2.3266644899152643e-08,17.57624505141314
GO:0030864,16,1.6076451821836338e-11,24.85366553437225
GO:0005794,46,4.6219798987779476e-11,23.797612860122936
GO:0004842,51,5.1243690182103333e-11,23.694428623887706
GO:0098592,2,2.0095564777295423e-12,26.93310707605209
GO:0030136,5,5.023891194323856e-12,26.016816344177933
GO:0015185,1,1.0047782388647711e-12,27.626254256612032
GO:0016605,18,1.808600829956588e-11,24.735882498715867
GO:0005096,13,1.3062117105242025e-11,25.061304899150496
GO:0005634,1069,1.0741079373464404e-09,20.651775345586987
GO:0005829,5,5.023891194323856e-12,26.016816344177933
GO:0045202,78,7.837270263145215e-11,23.26954542992244
GO:0005604,1,1.0047782388647711e-12,27.626254256612032
GO:0005813,30,3.014334716594314e-11,24.22505687494988
GO:0005912,3,3.0143347165943134e-12,26.52764196794392
GO:0051015,16,1.6076451821836338e-11,24.85366553437225
GO:0004758,8,8.038225910918169e-12,25.546812714932198
GO:0000400,12,1.2057338866377254e-11,25.14134760682403
GO:0005881,13,1.3062117105242025e-11,25.061304899150496
GO:0005730,4,4.0191129554590846e-12,26.23995989549214
GO:0005635,14,1.4066895344106796e-11,24.987196926996774
GO:0050421,3,3.0143347165943134e-12,26.52764196794392
